PID,Social Media Post,Normalized Claim
179,"It is possible some suicides that ordinarily would have been registered in 2020, have been registered in 2021 due to the disruption caused by the pandemic.","In 2021, 215 people aged 15-19 died by suicide."
180,"Evergreen Shipping Container.
Human Trafficking by HRC","The Beirut explosion was linked to “human trafficking by HRC."""
181,FACEBOOK POSTS,Five JetBlue pilots died from the COVID-19 vaccine.
182,Are we being biologically changed and tweeked enough just to be labled as a patten through the use of vaccines?,COVID-19 vaccines come in the form of quantum dots
183,bakit hindi to binabalita? bias talaga ang media,Pope Francis said Bongbong Marcos is an intelligent leader and that he hopes Marcos wins in the 2022 elections
184,Anyone know who is responsible for this?,"Covid-19 claims shared on a LED display driven around a number of locations in Ireland about tests, vaccines and masks"
185,"Emergency medical intervention will be necessary, in all cases, to prevent certain death",Amazon sprays all its packaging with toxic pesticides that can be harmful to cats.
186,"Do not take medicine when you have diarrhea, drink salt water and do not eat to improve digestion.
",People do not need to take medicine when suffering from diarrhea or loose bowel movement
187,When current is passed through the system the iron from the electrode will dissolve in the water causing it to turn brownish. The distilled water is a very poor conductor of electricity so no current flows and so the electrode stays intact,Electrolysis of tap water and distilled water shows that tap water contains something that is dumbing us down.
188,it has taken the threat of industrial action and the sight of thousands of junior doctors taking to the streets to reach this point,The BMA misled junior doctors on whether their pay would be cut.
189,".
 @Sen_JoeManchin
  on coal power plants: ""The United States had 589, 10 years ago. We're down to 504. [...] We are the only nation that has reduced our reliance as far as in coal energy.""","The United States had 589 coal-fired plants 10 years ago, and “we're down to 504. … We are the only nation that has reduced our reliance (on) coal energy."""
190,"Justice Clarence Thomas is wrong, again. Governments are bullying women into having government-mandated pregnancies, under threat of jail. Multiple Supreme Court Justices lied during their confirmation process about their view of #RoeVWade and stare decisis. Those are the facts.",“Multiple Supreme Court Justices lied during their confirmation process about their view of #RoeVWade and stare decisis. Those are the facts.”
191,we understand that an unpublished letter about new pathways issued by NHS Improvement on 13 October may be having an impact on recording practice,The UK Statistics Authority say A&E performance figures have been fiddled.
192,we do intend to continue to scale up testing,UK is testing more people for Covid-19 than any country other than China and Italy.
193,Chris Gayle will campaign for BJP,West Indies cricketer Chris Gayle will be campaigning for BJP in the upcoming Indian General Elections-2019.
194,MyElderly [sic] cousin who is 77 years old lives alone in London [sic] Borough of Enfield! He has two bedrooms and receives a 25% discount for a single persons [sic] allowance. He has received a call from Enfield Borough Council asking him to take in a Ukrainian family. He has said he doesn't want to. They have said do you realise we can force you to do it. He said if you force me to share my I would rather burn it down [sic]. He has worked all his life to pay for a small two bedroom house which sometimes the odd family member stays in the spare bedroom as he is elderly. They said if you do not like what we are saying as he Expressed his views they said we can take your 25% allowance away from you.,An elderly man was told by Enfield council that his single occupier council tax discount could be removed if he didn’t house a Ukrainian family in his spare room.
195,Newly opened Kashedi Tunnel on Mumbai Goa highway,Newly opened *Kashedi Tunnel* on Mumbai Goa highway.
196,The trust has been running empty ambulances during lockdown,A letter from a consultant at a hospital in Surrey claims that hospitals are empty and that there is no pandemic.
197,the National media was silent,"Dorothy Dow, 83, was murdered in the UK in 2022 and “the national media was silent”."
198,"So this is where the strep A infections pandemic in the kids is coming from. 6 kids dead already. Stop giving your kids the flu shot. In fact stop giving them anything right now. The government cannot be trusted.

This is from 2014. They know what the flu spray/jab can cause. So they weaken everyone's immune system by not allowing them to mix with other humans for a year, then mask them for another year, then jab with experimental jabs then the flu ones..",A study published in 2014 children’s nasal flu vaccines can cause strep A infections.
199,"Virginia Democrats Push Legislation to Make Criticism of Government Officials a Criminal Offense.""","""Virginia Democrats Push Legislation to Make Criticism of Government Officials a Criminal Offense."""
200,"Breaking News: The President of Ukraine has just again announced that President Trump has done nothing wrong with respect to Ukraine and our interactions or calls. If the Radical Left Democrats were sane, which they are not, it would be case over!","“Breaking News: The President of Ukraine has just again announced that President Trump has done nothing wrong with respect to Ukraine and our interactions or calls. """
201,"It never ends! Now they are trying to say that your favorite President, me, went to Walter Reed Medical Center, having suffered a series of mini-strokes. Never happened to THIS candidate - FAKE NEWS. Perhaps they are referring to another candidate from another Party!",The claim: Jill Biden said that former Vice President Joe Biden has had three strokes.
202,"This will be the last COVID-19 surveillance report, as of 8 October 2020, the information in this report will be published in a combined Weekly flu and COVID-19 Surveillance Report on GOV.UK",Covid-19 and influenza statistics are being combined to make the numbers look worse.
203,Cilantro removes toxic heavy metals from the brain https://amzn.to/2TCBMzf,Cilantro removes heavy metals from the brain
204,Cilantro removes toxic heavy metals from the brain https://amzn.to/2TCBMzf,The claim: Cilantro removes heavy metals from the brain
205,"Get some alum, some potash, a spoon of salt, native pepper. Grind them together put small of it to the affected teeth and wash your mouth with lime water after five minutes","Get some alum, some potash, a spoon of salt, native pepper. Grind them together put small of it to the affected teeth and wash your mouth with lime water after five minutes"
206,"600,000 Americans die each year from Cancer. That's 3x the Covid death rate. I don't see them mandating healthy living, banning cigarettes or removing the toxins from our beauty products & food.. but carry on.",The claim: Number of cancer deaths is three times COVID-19 death rate
207,Around 10% of mild coronavirus (COVID-19) cases who were not admitted to hospital have reported symptoms lasting more than 4 weeks,Young people are about twice as likely to suffer from “long Covid” after a coronavirus infection
208,"Friends, if you want to make your teeth even whiter, I want to share with you an easy method that will make your teeth shine like pearls in just 5 minutes. I learned about this a few years ago, and since then, I have tried it several times myself, and believe me, friends, it works like magic every time. The best thing is that it's so easy to do that even the laziest person among us can do it comfortably. It's a 100% natural remedy with no side effects. And the exciting thing is that it requires only one ingredient. I think this is the best time to talk about it because that ingredient is easily available during this season, and that ingredient is strawberries.",Strawberries whiten your teeth without leaving any side effects
209,UK Area 51! What are they hiding down here!!,An underground tunnel is a secret UK military site.
210,"Earlier today, deputies were called to the Ritz-Carlton Orlando, Grande Lakes for a call about an unresponsive man in a hotel room. The man was identified as Robert Saget & pronounced deceased on scene. Detectives found no signs of foul play or drug use in this case. 
 #BobSaget",Says Bob Saget died from the COVID-19 vaccine.
211,"A strange child was born today in the house of a Muslim in KD village near Shamli! He did not die even after 50 injections of poison, then he was buried with his throat slit.","Strange child born in Shamili, Uttarpradesh, was killed by slitting his/her throat"
212,"Congratulations to all kashmiris ,especially administration of jammu and kashmir to achieve such an achievement of landing on moon,,, all credit goes to administration of jammu and kashmir for there unprovidable facilities...",Visuals of a person wearing an astronaut suit and walking on a pothole-ridden road in Jammu and Kashmir
213,People who take Vitamin C and eat Eja Titus will not make heaven unless they go for deliverance - Nigerian woman preaches,Ascorbic acid or Vitamin C comes from the deep sea.
214,Flashback: Obama waited 6 months to call Swine Flu an emergency after thousands died,Says President Barack Obama “waited six months to call swine flu an emergency after thousands died.”
215,Samora Machel!,Samora Machel “used to say if you are applauded by white people you must know something is wrong with you”
216,"NEW: Austin police update on 6th Street shooting:
 * 15 people shot or injured; 13 'stable,' one 'serious;' Tourist Doug Kantor died. 
 * The juvenile suspect is 15. He is charged with deadly conduct. 
 * 17-year-old Jeremiah Tabb remains in jail on aggravated assault charge.","“Austin mass shooter still at large, but media won’t provide description because he’s Black.”"
217,Be careful,Incident of a man falling into a water pit and disappearing
218,If you're not voting for a democrat and are using a mail-in ballot then you need to reconsider how you're voting. Not talking about absentee ballots in justified reasons.,"Ballots recovered from a Santa Clara County, California, ravine are evidence of “how the left cheats to win.”"
219,"* SHOCKING * B The Japanese professor of physiology or medicine, Professor Dr Tasuku Honjo, caused a sensation today in the media by saying that the corona virus is not natural. if it is natural, it will not have affected the whole world like that. Because, depending on the nature, the temperature is different in different countries. if it were natural, it would only have affected countries with the same temperature as China. instead, it spreads to a country like Switzerland, the same way it spreads to desert areas. whereas if it were natural, it would have spread in cold places, but would have died in hot places. I have done 40 years of research on animals and viruses. It is not natural. It is manufactured and the virus is completely artificial. I have been working for 4 years in the Wuhan laboratory in China. I know all the staff of this laboratory well. I called them all after the Corona accident. but, all of their phones have been dead for 3 months. It is now understood that all of these laboratory technicians are dead. Based on all of my knowledge and research to date, I can say this with 100% confidence that Corona is not natural. It did not come from bats. China made it. if what I say today turns out to be false now or even after I die, the government can withdraw my Nobel Prize. but China is lying and this truth will one day be revealed to all. https://en.m.wikipedia.org/wiki/Tasuku Hong PLEASE FORWARD TO THE LARGEST NUMBER SO THAT THE GUILTY MUST PAY WHAT HAPPENS TO US ALL !!!!","Professor Dr Tasuku Honjo, caused a sensation today in the media by saying that the corona virus is not natural."
220,"Finally a INDIAN student from PONDICHERRY university, named RAMU found a home remedy cure for Covid-19 which is for the very first time accepted by WHO. He proved that by adding 1 tablespoon of black pepper powder to 2 table spoons of honey and some ginger juice for consecutive 5 days would suppress the effects of corona. And eventually go away 100%. Entire world is starting to accept this remedy. Finally a good news In 2020!! PLEASE CIRCULATE THIS INFORMATION TO ALL YOUR FAMILY MEMBERS AND FRIENDS",A student from Pondicherry University has found a home remedy for COVID-19 that has been accepted by World Health Organization (WHO)
221,West Yorkshire Police is not recording and will not be recording any additional reports in relation to the same matter,West Yorkshire Police is investigating the Covid-19 vaccine programme.
222,Having Banana A Day Keeps Coronavirus Away...,Bananas keep coronavirus away
223,Banana A Natural Beta Blocker For Anxiety,Bananas can cure anxiety and lift your mood
224,Military arrests former President George W. Bush.,“Military arrests former President George W. Bush.”
225,"Remember that all service stations have their storage tanks buried below ground.. The colder the ground the more dense the fuel, when it gets warmer petrol expands, so buying in the afternoon or in the evening your litre is not exactly a litre",Buying petrol first thing in the morning provides better value for money as cold fuel has a higher density and therefore greater volume.
226,Boni Khalwale was chased like brukenge in Kakamega after talking bad about Mudavadi.,Images showing the former Kakamega County Senator Boni Khalwale being chased for bad-mouthing Amani National Congress Political Party (ANC) Party Leader Musalia Mudavadi
227,"Due to the spread of misinformation, our website is experiencing high traffic volumes at this time. If you are attempting to register or verify registration, please check back later today as we are working to resolve this issue. We appreciate your patience.",Fact-checking misinformation about Iran and a US military draft
228,BANTAG BALIK BUCOR NA!!! REMULLA AT CATAPANG BAKIT MASYADONG KABADO KAY BANTAG???,Gerald Bantag has been reinstated as Bureau of Corrections chief
229,young man who went for blood donation drunk his own donated blood out of anger that he was not given a juice packet after the blood donation.,A young man drank his own donated blood out of anger as he was not given a juice packet after the blood donation
230,"Breathing stopped: William cried a lot, British's Queen Elizabeth d-e-ad at age 95",“Queen Elizabeth d-e-a-d at age 95.”
231,It may be a nematode worm of some type but is certainly not one that we cover in our studies and is therefore unlikely to be of any medical importance,Various social media posts claim to show “the world’s tiniest poisonous snake” or a killer worm in a green pepper.
232,"There have been about 60,000 BUSHFIRES IN AUSTRALIA EACH YEAR for the past decade.
About 50% have been deliberate, 35% accidental and only 6% ""natural"" (lightning strikes etc)
It wasn't too long ago that a president was elected by the misguided on a platform of hope. Instead however he ushered in a the age of - polarisation, global terrorism, anarchism and chaos.
Iran and North Korea were given a free pass. Persecution of minorities in particular countries intensified. China's insatiable appetite was only matched by her territorial, economic, industrial and military aggression. The Middle East erupted and ISIS raised it's ugly head. Europe and the rest of the Western world became progressively more polarised, and with that came Radicalisation and Scapegoating.
Radicalisation has permeated, the streets, places of worship and educational facilities alike. Terrorism has evolved to become economical and environmental, as well as ""ideological""
At least since 2007 it's 's likely that some of the fires in Australia, Europe and Canada were cause by ""ideologically"", politically and environmentally motivated arsonists. The ""ideological"" terrorists, ELF's, ALF's and others have engaged in arson at least since 1988, the extinction rebellion was named allong side terrorist organisations in Australia and Britain.
The Royal Commission into Australia's bushfires must determine if there was arson terrorism, how far back does it go (likely to 2009) and it's extent.",AAP FactCheck examined a claim that about 50 per cent of bushfires in Australia are deliberately lit.
233,"HOW TO TREAT ALL EYE PROBLEMS USING BITTER COLA NATURALLY 100% EFFECTIVE...
STEPS ON HOW TO USE BITTER COLA TO TREAT ALL EYE RELATED PROBLEM WITHIN 21 DAYS..
1.Get a little container with a cover or let me simply put it,get a used EYE DROP bottle(WASH inside to clean all the liquid in it).
2.Then boil a little water (half a cup is OK)..
3.wait for the water to cool down(the water is boiled so it will kill all bacteria in it).pls note that it is mandatory you boil the water.
4.pour the cooled water into your little eye drop empty bottle...
5.Then cut three of your BITTER COLA into pieces then gently drop them into the same bottle with the boiled-cooled water...
6.cover it nicely then keep it in a room temperature for 3 good days without touching it.
7.on the 3rd day, shake it very well then use it as an EYE DROP..
use it 2 or 3 times a day..
NB:ON THE FIRST DAY,YOUR EYE MAY TURN RED AND ITCHING A LITTLE,you must not panic,it is actually cleaning all the dirt on your eye.. Within few days,you won't see it again..
Also.do not cover the tip of the water drop with your hands(so that you don't contaminate the bottle with a bacteria)..
Always make sure your drop tip is clean and save..
If you have GLAUCOMA, use it for 30-60 days and it will go..
If you have MYOPIA,use it for 21-30 days and you will see clearly...
Any eye related problem which has been putting you on glasses will go within 21-90 days..
Your remedy must to be replaced on the 21st days of its use. I mean u renew your remedy again. The Professor","A social media post claims all eye problems, including Glaucoma and myopia, can be treated using a homemade eyedrop from bitter kola. We fact-checked and found this claim to be Half true."
234,BJP flag in Pakistan occupied Kashmir,Bjp flag in Pakistan occupied Kashmir
235,Trump stealing money from military families to pay for his border wall is nothing short of abhorrent.,"“Critical defense and military preparedness projects pay the price,” to help build for a border wall."
236,This attack is abhorrent and should be condemned by all.,"In the immediate wake of a fire and vandalism at the Madison headquarters of an anti-abortion group, Democrats had not condemned “activists who are engaging in this repugnant illegal activity.” "
237,The Ghislaine Maxwell trial... This is starting to get interesting.,The claim: More than 20 CEOs have stepped down during Ghislaine Maxwell's trial
238,"""Just now, RJD-Congress workers caught a car full of EVMs hovering around the strong room in Saran and Maharajganj Lok Sabha constituencies of Bihar. There is no answer. The question is bound to arise? What kind of game of Chhapra administration??
All friends be careful. These BJP goons thugs can do anything.""","A truck with EVMs was caught roaming in the vicinity of a strong room in Chapra, Saran."
239,"Correction... Fact checkers at Politifact have rated this as false, noting that ""Deaths from abortions still happen, but they declined sharply after Roe v. Wade.""",Roe v. Wade marked the end of women dying from abortions
240,Animals With Down Syndrome,"A social media post claims that various animals, such as tigers, owls, etc., can also suffer from Down syndrome. We fact-checked and found this claim to be False. "
241,"I do not know how Ronaldo won even 5 Ballon d'ors in the era of corrupted FIFA, Ronaldo winning 5 Ballon d'ors is like winning 50 Ballon d'ors as we can see there, they do politics and they favour only one person everytime [sic] ....and criteria also changes every year only for that person",Frank Lampard said FIFA is “corrupted” and that it hates Cristiano Ronaldo.
242,"PSA:
Antibiotics will cancel out your birth control and your doctor will fucking forget to tell you that",Antibiotics ‘cancel out’ birth control
243,Appreciate all the support but - truth is I should be better than the guys baiting me. This happens all the time these days. Often in front of my family. But there is a lesson: no need to add to the ugliness; I should be better than what I oppose.,Fredo is an ethnic slur against Italian Americans
244,"** CORONAVIRUS BEWARE **
Be careful if you order anything from CHINA be careful with your packages the virus can live on a surface for up to 28 days!!
so even if the person sneezed or wiped there nose and touched the parcel it can be effected up to 28 days!
#copied #coronavirus","Coronaviruses can live on surfaces for up to 28 days, so you should be careful if you receive a package from China."
245,Putin has stated: Russian citizens have two options: stay at home for 15 days or in jail for 5 years. Statement is over,Russian President Vladimir Putin has ordered Russia’s population to stay at home for 15 days or face five years in jail.
246,Taliban govt of Afghanistan has restored Buddha of Bamiyan withing one year. When is Narendra Modi govt going restore Babri Masjid ?,Taliban govt of Afghanistan has restored Buddha of Bamiyan withing one year. When is Narendra Modi govt going restore Babri Masjid ?
247,The Truth!,"""The real electoral map"" shows Donald Trump leading Joe Biden in electoral votes."
248,"In honor of Pfizer's rushed jabby-jab approval (safety studies not scheduled to be completed until 2023), let's name all the other ways the FDA has legalized sickening and killing people...
Ill go first:
Vioxx","FDA OK 'means nothing' because agency approved cigarettes, alcohol, etc."
249,Lacking in a vitamin could increase death risk by 99 percent,"Nearly 99% of Covid-19 patients who are vitamin D deficient die, according to a research study."
250,The year before I became Minister of Aviation there were 5 plane crashes with the loss of 453 lives.When I became Minister the planes stopped crashing. There was not one crash under my watch.When I left the Ministry planes started crashing again.I must have done something right!,The former Minister of Aviation says there were no plane crashes during his tenure.
251,Trump says No Aid for CA fires. But in July he offered to help Putin with fires in Russia.,Trump says No Aid for CA fires. But in July he offered to help Putin with fires in Russia.
252,The first picture from Kerala in Bharat Jodo Yatra is posted by Guru Shashi Tharoor ji.,Shashi Tharoor sitting with women during Congress' Bharat Jodo Yatra
253,"We have just been sent a medical alert that no one is to use anti inflammatories (eg brufen, Voltarol, naproxen and there are others) for pain or high temperature. Use paracetamol instead. There seems to be a link between severe cases of covid19 affecting young people with no underlying illnesses and taking anti inflammatories. Initial reports started coming from French Drs on Friday. This has been confirmed by infectious diseases consultants here - there are 4 young people in ICU in Cork who have no underlying illnesses - all were taking anti inflammatories and there are concerns this has caused a more severe illness. We have been asked to spread the message. French tv and radio apparently broadcast the same warning today","There are four young people with no underlying illnesses in an intensive care unit in Cork due to Covid-19, who had all been taking anti-inflammatory drugs."
254,By declining the vax I am 100% safe from adverse reactions and 99.8% safe from Covid,The survival rate of Covid-19 without vaccination is 99.8%.
255,"Fact checkers are deliberately putting false information about the covid injections!!!
They are not safe and will not be finished testing on humans until 2023.
Do not trust fact checkers.
Fact checkers will be held accountable for disinformation and harming the public.
Class action lawsuit...
Collect all fact checker disinformation stickers on your post.
Fact checkers will be held accountable!!!
Covid is a flu and nothing more!",Covid-19 is not classed as a ‘high consequence infectious disease’.
256,I've been saying this for years once a lump arrises there's no need to be scared you just simply have to starve the cancer and fast with selected herbs and seamoss.,"A tumour is a bag that collects poison from your body. A needle biopsy explodes the tumour and pours poison into the body, giving you cancer."
257,A MESSAGE FROM THE PRESIDENT!," ""Hundreds of thousands of vials (of antibody drug) are being sent to the hospitals all over the country."""
258,I thank the country of Nepal from the bottom of my heart. Who included Gautam Buddha in its currency. Namo Buddhay. Jai Bheem. Arun Jatav BSP,Nepal government includes Gautam Buddha's picture on currency notes
259,"Aboriginal children at the local Tweed Heads schools are being rounded up today and tomorrow to go on a bus to the Minjungbal Aboriginal Cultural Centre for a jab. 12 yrs old and older. No parental consent needed. Apparently they are co-ordinating with Schools, Police and Aboriginal Health representatives. Please share to all parents. Keep children home as attendance at school = Consent!!! 12 yr olds do not know what they are allowing into their own bodies. This information is from Nurse co-ordinators who care",Aboriginal school children aged 12 and over were taken to a COVID-19 vaccination centre in Tweed Heads without parental consent.
260,"I think we have settled 25,000 vulnerable people since 2015, which is more than any other European country.",The UK has taken more vulnerable people fleeing theatres of conflict since 2015 than any other country in Europe.
261,"""
 @MBuhari
  is an agent of destabilisation, ethnic bigot & religious fanatic who, if given the chance, would ensure the disintegration of the country. His ethno-centrism would jeopardise Nigeria's national unity""- ASIWAJU BOLA AHMED TINUBU, 2003.
 
 BAT was right.","A claim that Buhari is an agent of destabilization, ethnic bigot & religious fanatic who, if given the chance, would ensure the disintegration of the country. "
262,my cousin done this and all of them are positive apart from a grapefruit,"Ketchup, orange squash, tomatoes, strawberries and grapes all deliver positive Covid-19 lateral flow test results."
263,HEK-239 [sic] artificial flavouring uses aborted fetus cells,Various multinational food and drink companies use artificial flavourings made by Senomyx which are made from aborted foetal cells.
264,"A #correctshoppa knows ""One apple a day keeps the doctor away"" and she gets her apple and other healthy fruits from Valuemart Discount City Market.  
",A social media post claims eating apples helps fight asthma. We fact-checked and found the claim to be Half True.
265,"work together in a way that destroys healthy gut flora. Glyphosate interferes with intestinal bacteria, leading to the excessive growth of Clostridium difficile. Its poisonous product, p-cresol, has been linked to autism (proven on humans and mice), increasing the dose of",soy causes Alzheimer’s disease
266,"The figure is 10 extra hours a week, so the cut would force that person to work 50 hours a week in total to get what he or she is receiving now",£20 a week is about two hours extra work every week for Universal Credit claimants.
267,"Kanhaiya Kumar, Shehla Rashid are so lucky.",Claim Indira Gandhi forced Sitaram Yechuri to resign and read an apology letter
268,"Nothing should stand above human rights. Nothing!
#covid19 #coronavirus #melbournelockdown","An Instagram post claims Victorian Premier Daniel Andrews said ""insisting on human rights"" under COVID-19 restrictions was not only selfish but also stupid."
269,Let's give send off to all these great Personality,"Shah Rukh, Javed Akhtar and Shabana Azmi said that they will leave India If Modi becomes the Prime Minister and Mamata Banerjee said she will commit suicide."
270,I was just wondering if you had any facts in regards to the amount of men refugees vs women/children?,Refugees are predominantly male.
271,this will reduce the risk of exposure of vulnerable individuals to the serious consequences of vaccine-preventable infections.,"If you have been recently vaccinated you need to stay away from babies, young children, pregnant women, immunocompromised people, the elderly, and terminally ill people for at least two weeks minimum."
272,Vitamin B17 is banned because it kills cancer cells,Vitamin B17 is banned because it kills cancer cells
273,"Some people have expressed concerns that Irish speakers would be given the right to use Irish in the courts.
Things to note:
People seem to presume that we have a criminal class of fluent Irish speakers lining up to demand their cases to be heard in Irish.
Both the prosecution and the defence would have to agree to the case being heard in Irish.(Unlikely to happen).
No solicitor would advise their client to use their second language.
At present other languages can be used in courts it is only Irish that is banned.
This ban was part of the penal laws. Removing the ban will be a symbol of a new respect for a language which was once spoken by the majority of people here.",Only the Irish language is banned in courts in Northern Ireland.
274,A view of the California wildfires from above the clouds,Picture of wildfires in California
275,Looking forward to opening one of new 48 [sic] hospitals later today.,"Sajid Javid claimed to be opening one of 48 new hospitals in August 2021, but it was actually a new cancer centre at an existing hospital in the pipeline years before Boris Johnson pledged to build 40 and later 48 new hospitals."
276,"Right and left brain dominant, if ur right brain is dominant, u will see combination of pink and white color, and if ur left brain is dominant, u will see it in grey and green color. Try with ur loved ones, very interesting","Right and left brain dominant, if ur right brain is dominant, u will see combination of pink and white color, and if ur left brain is dominant, u will see it in grey and green color. Try with ur loved ones, very interesting"
277,"Boycott Hinduphobic #AliFazal's Mirzapur 2!!
 #BoycottMirzapur2 
 @alifazal9",Ali Fazal’s tweet celebrating Delhi riots. The tweet also shares the image of IB officer Ankit Sharma’s dead body being pulled out of a drain
278,"Hanuman mandir, Prayagraj. A peace incarnate offered namaz inside temple premises and hindus being high level pussies neither objected nor kicked him out of there.Irony is that it's a mandir of Bajrang Bali.","Hanuman mandir, Prayagraj. A peace incarnate offered namaz inside temple premises and hindus being high level pussies neither objected nor kicked him out of there.Irony is that it’s a mandir of Bajrang Bali."
279,"If you are pregnant or breast-feeding, think you may be pregnant or are planning to have a baby, ask your doctor or pharmacist for advice before you receive this vaccine",There is a discrepancy between information on Pfizer’s website and patient information leaflet and official government advice for pregnant women thinking about getting the Covid-19 vaccine.
280,We will restore it. We are the only party committed to restoring it,The Liberal Democrats are “the only party” committed to restoring the target of spending 0.7% of Gross National Income on overseas aid.
281,The tallest man in the world is a Muslim brother from Pakistan.,The tallest man in the world is a Muslim brother from Pakistan
282,"The FCDO advises against all but essential travel to Spain, including the Balearic Islands but excluding the Canary Islands, based on the current assessment of COVID-19 risks",You shouldn’t be visiting countries on the amber list for holidays.
283,I have explained that the analysis is not a series of 58 economic impact assessments. It is a cross-sectoral analysis,"David Davis and Theresa May said on nine separate occasions in the House of Commons that they'd done, or were doing... around 58 sectoral analyses"
284,"to Saudi Arabia
Transit at singapore",Image Of Gotabaya Rajapaksa Inside The Flight – Maldives To Singapore!!
285,"Teachers can only deduct up to $250 for school supplies on their taxes, but billionaires can write off the entire cost of a private jet.
 
 This is what it looks like when laws are written by millionaires, funded by billionaires.
 
 Unrig the system.
 Elect a working class Congress.","“Teachers can only deduct up to $250 for school supplies on their taxes, but billionaires can write off the entire cost of a private jet.”"
286,"How to WHITEN your TEETH with BANANA peel
Take a piece of the inside of the banana peel and gently rub around on your teeth for about 2 minutes. The amazing minerals in the peel like potassium, magnesium and manganese absorb into your teeth",banana peels can whiten teeth effectively
287,"Happy Independence Day!
Let us have honor like these men.",The claim: An image shows a July 4 tweet from Rep. Marjorie Taylor Greene 
288,I think the estimates are now about,An estimated 2m young people in their 20s and 30s can't find the money needed to move out of their parent's home.
289,"This is a still image created by a Japanese Neurologist, Yamamoto. As per the Neurologist, if you find it as a still image, you are healthy, if the image appears to be shaky, you are a little stressed or you have not got a sound sleep during night, if you find the image circulating, then you are stressed and you need some rest, if you find the image moving fast, you are highly stressed and you need treatment",Image determines the state of mind
290,"Keep hydrated with the best tap water in the world! 
 
 Visit http://nyc.gov/beattheheat for more tips on keeping cool this summer.","There’s polio in New York City’s tap water.
"
291,Val Demings supports abortion up until the moment of birth.,“Val Demings supports abortion up until the moment of birth.”
292,"Climate change took a legend today.
 
 #ClimateEmergency #ClimateScam #QueenElizabethII #QueenElizabeth #ClimateCrisis",Queen Elizabeth II died as a result of global climate change !!
293,"@jamespr069
  @darrentupman01
  @jordancatheral9",AI super soldier in training
294,The clearest picture of the sun from NASA,(IMAGEN) LA IMAGEN MÁS CLARA DEL SOL DE LA NASA
295,"Peter Navarro releases 36-page report alleging election fraud 'more than sufficient' to swing victory to Trump https://washex.am/3nwaBCe. A great report by Peter. Statistically impossible to have lost the 2020 Election. Big protest in D.C. on January 6th. Be there, will be wild!",“1776 flag flying over White House!” in January 2021. “Revolution Signal.”
296,"There is NO WAY (ZERO!) that Mail-In Ballots will be anything less than substantially fraudulent. Mail boxes will be robbed, ballots will be forged & even illegally printed out & fraudulently signed. The Governor of California is sending Ballots to millions of people, anyone.....",“Twitter is completely stifling FREE SPEECH” by adding a fact-check label to Trump’s tweet.
297,Why was Shahrukh Khan stopped at the US airport,शाहरुख खान को अमेरिका एयरपोर्ट पर क्यों रोका गया
298,"the combined impact in 2025-26 of all reforms to income tax and [National Insurance] introduced over the course of the current parliament, announced before and after this mini-Budget",The tax cuts announced in the mini-Budget on 23 September favour people “right across the income scale”.
299,"We are spending $80 billion a year to lock up 2.2 million people, disproportionately African Americans, Latinos and Native Americans. We need real, comprehensive criminal justice reform. We must invest in jobs and education, not more jails and incarceration.",The United States is spending $80 billion a year to lock up 2.2 million people
300,"FB servers went down. It sounds like a hack until you learn that their actual DNS name servers were deleted from the registrar. Nothing to see here, they could have updated their DNS, right?
Until you learn that the FB employees couldn't get into the building (their key cards didn't work) to figure out what caused the site to go down and to get the servers back online again.
Hours later everything just comes back on but moving slow? I have a guess. The military raided FB for the servers, took them, and left. When FB regained access to the facility they had to switch to the backup servers, which took a few hours to rebuild.
Now we're seeing FB back online...but who's really in control over it now? Something a LOT BIGGER just happened today, people.",The military raided Facebook and took its servers
301,We had a serious discussion of the challenges we all face in finding a 21st century solution to asylum issues,"On the government’s plan to send asylum seekers to Rwanda, David Blunkett proposed the policy first in 2004."
302,"Nadine Dorries - 
To keep warm this winter we should turn to man's best friend, the domesticated dog.
As a nation of animal lovers, we are well aware that dogs can provide warmth. Also, in ancient China Shih Tzus were inserted into sleeves to keep people warm.
Cats probably work quite well to.",Nadine Dorries said that “as a nation of animal lovers” we should use cats and dogs to keep warm this winter.
303,Owaisi sahab is singing bhajan (devotional songs),Asaduddin Owaisi is singing a bhajan
304,"""The science isn't strong enough"".
 
 Watch the moment an unvaccinated hospital consultant challenges Health Secretary Sajid Javid over the government's policy of compulsory COVID jabs for NHS staff.
 
 https://trib.al/idSFdkv
 
  Sky 501, Virgin 602, Freeview 233 and YouTube",Antibodies from a previous Covid-19 infection are probably equivalent to someone who has been vaccinated.
305,"Donyi Polo airport, Arunachal Pradesh will be the most eco friendly, interiors made of bamboo, 
 shortly it will be dedicated to Nation.
 @AAI_Official","Donyi Polo airport, Arunachal Pradesh will be the most eco friendly, interiors made of bamboo, shortly it will be dedicated to Nation. @AAI_Official"
306,"EVM machines burned in Mandi, Poonch.
EVM machines were hacked. All votes goes to bjp.
CHOWKIDAR KI CHORII. NAHI CHALYY GI","EVMs being burnt in Mandi, Poonch district and all the votes went to BJP only."
307,"Well played, Barbeques Galore Australia! Too funny. According a source on Twitter they're digital billboards so it's hard to know whether or not the system was hacked. But if they're legit, BBQs Galore deserves a mighty salute! (Thanks AE)",Billboards in Melbourne displayed Barbeques Galore adverts with an anti-Liberal Party message.
